age_group,socioeconomic_group,experience_years,test_score,college_graduation_year_gap,employment_gap,neighborhood_quality,hired
Young,Low,9,48.2981,0,0,1,1
Young,High,4,87.8322,0,0,1,1
Young,High,2,80.4588,1,1,1,1
Young,Low,8,80.0456,0,0,1,1
Young,Low,4,76.7317,0,1,1,1
Young,High,9,46.4767,0,0,1,1
Young,Low,4,58.9928,0,1,1,1
Senior,High,8,59.9074,1,1,1,1
Young,Low,9,39.3539,0,0,1,1
Senior,High,9,56.645,1,0,1,1
Young,Low,10,56.8085,0,0,0,1
Senior,High,4,66.89,0,0,1,1
Young,High,1,100.0,0,0,1,1
Young,High,3,64.6866,0,1,1,1
Senior,High,9,66.8977,0,0,1,1
Senior,Low,4,61.2468,1,0,0,0
Senior,High,5,76.0657,1,0,1,1
Young,Low,7,48.8912,0,0,0,1
Young,High,5,93.4406,0,0,1,1
Senior,High,4,63.1376,1,1,1,1
Senior,High,2,59.0722,1,1,1,0
Senior,High,2,79.5506,0,0,1,1
Senior,High,4,51.6362,0,0,1,1
Young,High,10,75.7888,0,0,1,1
Senior,High,10,86.0776,0,1,1,1
Young,High,9,61.3799,0,0,1,1
Young,Low,8,95.7926,0,0,0,1
Young,Low,3,74.6644,0,0,1,1
Senior,High,9,74.8504,1,0,1,1
Young,High,5,85.488,1,0,1,1
Young,Low,3,89.461,0,1,0,1
Senior,Low,5,68.9276,0,0,0,1
Young,Low,10,76.9536,0,0,0,1
Senior,High,4,85.9451,1,1,1,1
Young,Low,8,47.5728,0,0,1,1
Young,Low,5,39.0575,0,0,1,1
Senior,Low,10,64.1367,1,1,0,1
Young,Low,8,38.6976,0,1,0,1
Young,High,9,60.2901,0,0,1,1
Young,High,4,69.7156,0,0,0,1
Young,Low,7,60.8654,0,1,0,1
Senior,Low,2,62.8761,1,1,0,0
Young,High,6,49.975,0,0,1,1
Senior,High,8,76.8222,1,0,1,1
Young,High,7,49.048,1,0,1,1
Senior,High,7,33.4565,1,0,1,1
Senior,Low,8,61.8899,1,0,0,1
Senior,Low,7,78.7253,1,0,1,1
Young,High,5,66.1975,0,0,0,1
Young,High,7,47.528,0,1,1,1
Young,High,10,66.5293,0,0,1,1
Senior,High,3,71.5746,1,0,1,1
Senior,Low,5,66.3548,0,1,0,1
Senior,Low,7,61.0312,1,1,0,1
Young,Low,9,72.2906,0,0,0,1
Senior,High,2,38.9236,0,0,1,1
Senior,Low,4,51.5907,1,0,0,0
Young,Low,7,45.4219,0,0,0,1
Young,Low,1,85.2258,0,0,0,1
Senior,High,2,75.6805,0,0,0,1
Senior,High,9,67.7769,0,1,0,1
Senior,High,10,43.2407,0,0,1,1
Young,High,7,76.1622,0,1,1,1
Senior,High,10,85.7981,0,1,1,1
Young,High,7,73.5724,1,0,1,1
Young,High,6,64.4723,1,0,1,1
Young,Low,3,74.4758,0,1,0,0
Senior,High,10,69.0937,1,0,1,1
Senior,High,3,78.8911,1,0,0,1
Senior,Low,2,78.5553,1,1,1,1
Young,Low,6,61.684,1,0,0,1
Senior,Low,4,55.0904,1,0,0,1
Young,Low,5,59.0027,0,0,0,1
Senior,Low,3,73.0378,1,0,1,1
Young,Low,6,59.9084,0,1,0,1
Young,High,3,53.7421,0,0,1,1
Young,High,8,64.9857,0,0,1,1
Young,High,9,81.6119,0,0,1,1
Senior,High,4,67.0266,0,1,0,1
Senior,High,9,60.8567,0,0,1,1
Young,Low,7,69.8065,1,0,1,1
Senior,Low,3,66.2606,0,0,1,1
Young,Low,7,35.9954,0,1,0,1
Senior,High,1,75.4514,0,0,1,1
Senior,Low,3,71.1119,0,0,1,1
Senior,Low,6,65.2426,0,1,1,1
Young,High,4,80.9354,0,0,1,1
Senior,Low,7,83.195,0,1,0,1
Senior,High,3,76.9815,1,1,0,0
Young,High,1,52.2455,1,0,0,0
Young,Low,9,52.7643,0,0,1,1
Senior,High,6,81.76,1,0,1,1
Senior,High,8,36.8416,0,0,1,1
Senior,Low,3,62.7673,0,0,0,1
Senior,Low,8,71.5974,0,1,0,1
Senior,High,2,38.7439,1,0,1,0
Young,High,4,68.5151,0,0,1,1
Young,High,3,79.3164,0,1,1,1
Young,Low,10,42.7164,0,0,1,1
Senior,High,1,89.8726,0,1,1,1
Young,High,7,49.8525,0,1,1,1
Senior,Low,10,73.621,1,1,1,1
Senior,Low,2,63.7461,1,0,1,0
Senior,High,4,66.0427,1,0,0,0
Young,Low,9,45.7476,0,0,0,1
Senior,Low,6,83.9071,1,0,0,1
Young,High,8,69.8883,0,0,1,1
Senior,High,2,89.3126,1,1,1,1
Young,Low,7,46.1387,1,0,0,1
Young,High,6,62.2815,1,1,1,1
Senior,Low,9,68.1429,1,0,0,1
Young,High,7,65.9057,0,0,0,1
Young,High,1,75.0018,0,0,1,1
Senior,High,8,62.0912,1,1,1,1
Senior,High,10,96.8304,1,0,1,1
Senior,High,3,65.5976,0,1,1,1
Senior,High,2,30.0,0,0,1,1
Senior,Low,3,66.263,1,0,0,0
Young,Low,6,83.922,0,0,0,1
Young,Low,3,51.1504,1,0,0,0
Young,Low,10,50.1987,0,0,0,1
Senior,High,5,52.3942,1,1,0,0
Senior,Low,6,48.8528,0,1,0,0
Young,High,8,57.809,0,1,0,1
Young,Low,7,78.6395,0,0,1,1
Senior,Low,8,87.895,1,0,1,1
Young,Low,3,30.0,1,0,0,0
Senior,Low,4,59.3232,1,1,1,1
Senior,Low,6,69.5405,0,1,1,1
Senior,High,7,68.0402,0,0,0,1
Young,High,9,93.4991,0,0,1,1
Senior,Low,1,34.8396,1,0,1,0
Senior,High,8,30.0,1,1,0,0
Senior,Low,8,95.9332,1,0,0,1
Senior,Low,6,76.3015,0,0,0,1
Senior,High,4,56.4294,1,1,0,0
Senior,Low,3,67.574,1,0,1,1
Young,Low,3,68.6483,0,0,0,1
Senior,Low,6,56.0672,1,0,1,1
Senior,Low,8,67.1267,0,1,1,1
Young,Low,7,70.3222,0,0,1,1
Senior,Low,1,95.233,0,0,0,1
Senior,Low,6,79.4518,0,1,0,1
Senior,High,7,91.0898,0,1,0,1
Young,High,7,44.8464,0,0,1,1
Young,Low,9,59.792,0,0,0,1
Senior,High,10,68.6337,1,0,1,1
Senior,Low,5,36.1835,0,0,1,1
Young,Low,1,82.7279,0,0,0,1
Senior,High,2,74.6331,0,0,1,1
Senior,Low,4,59.4926,1,0,0,0
Senior,Low,5,62.25,0,1,0,1
Senior,High,9,83.808,0,0,0,1
Young,High,1,53.0684,0,0,1,1
Young,High,3,84.4128,0,0,1,1
Young,High,5,61.2194,0,0,0,1
Senior,Low,3,76.3399,0,0,0,1
Young,High,4,66.3015,0,0,1,1
Young,Low,3,98.4979,0,0,0,1
Young,High,4,51.6891,1,0,1,1
Senior,High,1,56.4008,1,0,0,0
Senior,Low,8,42.4081,0,0,0,1
Young,Low,4,48.5486,0,0,1,1
Young,High,7,75.6969,0,0,0,1
Senior,High,2,89.0025,0,0,1,1
Young,High,2,77.3972,0,0,0,1
Young,High,6,64.9191,0,0,1,1
Young,Low,2,51.5958,0,0,0,1
Young,High,6,78.4763,1,1,1,1
Young,High,2,50.771,0,0,1,1
Young,High,4,44.7657,0,0,1,1
Young,Low,7,60.373,0,1,1,1
Senior,Low,8,34.4909,1,0,1,1
Young,High,3,44.2792,0,0,1,1
Senior,Low,9,93.2899,1,0,1,1
Senior,High,2,41.4979,1,0,1,1
Young,High,8,47.1778,1,0,0,1
Senior,Low,8,66.0775,0,0,1,1
Young,Low,4,66.8586,0,0,0,1
Senior,Low,1,61.4806,0,0,0,0
Young,Low,1,34.9494,0,0,1,0
Young,High,2,77.7273,0,0,1,1
Young,Low,9,58.3542,0,0,0,1
Senior,High,2,83.3067,1,1,0,0
Senior,Low,2,55.3277,1,0,0,0
Senior,High,6,79.7374,1,0,1,1
Young,Low,7,84.4413,1,0,0,1
Senior,High,7,57.9959,0,0,1,1
Young,High,9,78.2068,1,0,0,1
Senior,Low,6,45.0718,1,0,1,1
Young,High,8,68.9553,1,0,0,1
Young,Low,6,83.3334,0,0,0,1
Young,High,2,72.7774,0,0,1,1
Young,High,1,100.0,0,0,1,1
Senior,High,5,73.6154,0,0,1,1
Young,High,9,59.5209,0,0,1,1
Senior,Low,8,100.0,0,1,0,1
Young,High,4,89.5055,0,0,0,1
Senior,Low,5,40.9564,0,0,0,0
Young,Low,5,53.2375,0,0,1,1
Young,High,6,49.4276,1,0,1,1
Senior,Low,3,74.6844,1,1,0,0
Young,Low,5,73.5674,0,1,1,1
Young,Low,2,73.4518,0,1,0,1
Senior,High,10,40.5514,1,0,1,1
Senior,High,1,55.4286,1,0,1,0
Young,Low,1,62.7607,1,0,1,1
Young,Low,10,37.6712,0,0,0,1
Senior,Low,7,51.9226,1,0,1,1
Young,High,2,85.3465,0,0,1,1
Young,Low,4,41.6889,0,0,0,1
Young,High,5,86.8289,0,1,1,1
Senior,High,7,81.3672,1,0,1,1
Senior,High,2,60.6389,0,0,1,1
Young,Low,6,55.2669,0,0,0,1
Young,High,1,77.4774,0,1,1,1
Young,High,7,53.1839,0,0,1,1
Senior,Low,9,53.93,1,0,1,1
Young,High,5,64.642,0,0,1,1
Young,High,5,33.0465,1,0,0,0
Senior,High,4,43.2504,1,0,0,0
Young,Low,3,60.2651,0,0,1,1
Senior,Low,9,72.1354,1,0,1,1
Young,High,5,52.9764,0,0,1,1
Young,Low,8,62.0358,0,0,1,1
Young,Low,9,40.7981,0,0,0,1
Senior,High,5,78.9873,1,0,1,1
Senior,Low,10,68.3012,0,0,1,1
Senior,Low,9,69.6282,1,0,0,1
Young,Low,2,72.3238,0,0,1,1
Senior,High,9,66.1719,1,1,0,0
Young,Low,4,57.7434,0,0,0,1
Young,Low,6,81.9448,0,0,0,1
Senior,High,6,67.3532,0,1,1,1
Young,High,6,62.5142,0,1,1,1
Young,High,2,64.8702,1,0,1,1
Young,High,7,64.5505,0,0,1,1
Young,Low,6,62.3635,0,1,0,1
Young,High,1,71.6916,0,0,1,1
Senior,High,2,50.9621,1,0,1,0
Young,Low,7,52.0581,0,0,0,1
Senior,High,1,73.389,1,0,1,1
Senior,Low,1,62.8214,1,0,0,0
Young,High,1,79.5709,0,1,1,1
Young,High,8,71.1332,0,0,0,1
Young,High,4,56.7106,1,0,1,1
Senior,High,4,73.6264,1,1,1,1
Young,High,2,82.9579,0,0,0,1
Senior,Low,1,71.7047,1,0,0,0
Young,Low,10,74.9838,0,0,0,1
Senior,High,9,62.4234,1,1,1,1
Young,Low,7,79.8956,0,0,0,1
Young,Low,4,56.2896,1,1,0,0
Senior,Low,6,70.0781,0,0,0,1
Senior,High,2,100.0,1,0,1,1
Young,High,7,73.0832,0,0,0,1
Senior,High,2,58.6893,0,0,1,1
Young,Low,10,58.6506,1,0,0,1
Senior,Low,8,63.9299,0,0,0,1
Senior,High,8,77.7687,1,1,1,1
Young,High,1,67.1867,0,0,0,0
Young,Low,8,55.2721,0,0,1,1
Young,Low,2,55.2455,0,1,1,0
Senior,Low,6,67.2807,1,0,0,1
Senior,Low,1,65.6359,1,0,1,1
Young,High,5,71.8246,1,0,1,1
Young,Low,7,78.7623,0,1,1,1
Senior,Low,10,100.0,0,0,0,1
Senior,High,1,43.0695,0,0,1,0
Senior,Low,2,75.3029,0,0,1,1
Young,Low,7,66.4746,0,0,0,1
Young,High,6,37.3314,0,0,0,1
Young,Low,3,83.743,1,1,0,0
Senior,Low,10,71.3176,1,0,0,1
Young,Low,2,76.9971,0,1,0,1
Senior,High,10,39.5087,0,0,0,1
Young,High,4,61.6937,0,1,0,1
Senior,Low,3,48.812,1,0,1,0
Senior,High,7,97.4465,1,1,1,1
Senior,Low,8,82.1683,1,0,0,1
Young,Low,2,54.7855,0,0,0,0
Young,High,10,41.9504,1,0,1,1
Young,Low,7,67.9108,1,0,0,1
Senior,Low,8,81.3863,1,0,1,1
Senior,High,6,38.9742,1,0,1,1
Senior,Low,6,51.0234,0,1,1,1
Senior,Low,10,48.4162,0,0,1,1
Senior,Low,1,78.0042,0,0,0,1
Young,Low,4,59.4526,0,1,0,0
Senior,High,1,60.081,1,1,1,0
Young,Low,4,67.6198,0,0,0,1
Young,Low,2,51.8258,0,0,0,0
Senior,Low,5,43.3447,0,0,0,1
Young,Low,10,85.5453,1,0,0,1
Young,High,9,86.9373,0,0,1,1
Senior,Low,10,67.6937,1,1,0,1
Young,High,3,68.7823,0,1,1,1
Senior,High,8,83.9152,1,0,1,1
Young,High,3,67.3498,0,0,1,1
Young,Low,6,58.7138,1,0,1,1
Young,Low,4,65.5901,0,0,1,1
Young,Low,8,85.8975,0,0,0,1
Senior,Low,6,65.7998,1,0,0,1
Young,Low,8,54.9593,1,0,0,1
Senior,Low,1,67.205,1,1,1,0
Young,High,6,74.8433,0,0,1,1
Senior,High,1,73.0438,1,1,1,1
Senior,High,1,73.2924,1,0,0,0
Senior,Low,8,52.5998,0,1,1,1
Young,Low,7,76.5516,0,0,1,1
Young,High,3,65.427,1,0,1,0
Young,High,6,54.3231,1,0,1,1
Senior,Low,9,76.4323,0,0,0,1
Young,High,7,58.1954,1,0,0,1
Young,Low,3,41.3855,0,0,1,1
Senior,Low,6,49.991,1,1,0,0
Young,High,4,62.2754,0,0,1,1
Senior,High,3,73.6745,0,0,1,1
Young,Low,9,52.039,1,0,1,1
Young,Low,10,61.3901,0,0,1,1
Senior,Low,2,46.7509,0,0,1,0
Young,Low,1,79.7305,1,1,0,0
Senior,High,2,90.76,1,1,1,1
Young,Low,7,89.1392,1,0,1,1
Young,Low,10,79.4747,0,0,0,1
Senior,Low,1,77.9376,0,1,0,1
Senior,High,6,33.9218,1,0,0,0
Senior,Low,7,67.6576,0,0,0,1
Young,Low,9,57.5586,1,1,0,1
Senior,High,8,78.207,0,0,1,1
Young,High,6,30.0,1,0,1,1
Young,Low,3,67.8945,0,1,0,0
Senior,High,8,61.7833,0,0,0,1
Young,High,7,81.7764,0,0,0,1
Senior,High,3,88.2198,0,0,1,1
Young,Low,9,51.0673,0,1,0,1
Young,Low,2,51.7443,0,1,0,0
Senior,Low,3,68.4574,0,0,0,1
Senior,High,2,91.0064,0,0,0,1
Senior,Low,1,65.9022,1,1,0,0
Senior,Low,4,45.8126,1,0,0,0
Senior,Low,5,55.912,1,0,0,1
Senior,Low,6,68.04,1,0,0,1
Senior,High,5,68.603,1,0,0,1
Young,Low,1,54.4387,0,0,0,1
Young,High,3,55.6131,0,0,1,1
Young,Low,1,50.2765,1,0,1,0
Senior,High,5,82.1176,0,0,1,1
Senior,High,5,52.4784,1,0,1,1
Young,High,6,58.0281,1,0,1,1
Senior,Low,8,57.6012,0,1,0,1
Senior,High,10,40.9106,0,1,0,1
Young,Low,1,52.0488,0,0,1,1
Senior,High,4,83.4221,0,1,1,1
Senior,High,10,46.8607,0,1,0,1
Young,Low,1,50.5454,0,0,0,0
Senior,High,9,45.0118,1,1,1,1
Young,High,7,63.6408,0,0,1,1
Senior,Low,7,93.2822,0,1,1,1
Senior,High,5,63.0096,1,0,1,1
Senior,High,7,66.0014,1,0,1,1
Young,High,2,53.0683,1,0,0,0
Senior,Low,4,64.0757,1,0,0,1
Senior,Low,7,83.4358,1,0,0,1
Young,Low,3,67.1436,0,1,0,0
Senior,Low,2,96.9766,0,0,0,1
Young,High,10,83.8922,0,0,1,1
Senior,High,2,63.7053,1,0,1,1
Young,Low,1,63.4132,1,0,1,1
Young,High,5,89.4638,0,0,1,1
Young,High,6,67.0599,1,0,0,1
Senior,High,6,86.1338,1,1,0,1
Young,High,9,95.0436,1,0,1,1
Senior,Low,4,61.9367,0,0,0,1
Young,High,1,70.2793,1,1,1,0
Young,Low,6,79.7001,0,0,0,1
Senior,High,5,76.5125,0,0,1,1
Senior,Low,10,76.4074,1,1,1,1
Young,High,6,44.9979,0,0,1,1
Senior,High,3,52.2737,0,0,1,1
Senior,Low,2,57.571,0,0,0,0
Senior,Low,6,83.2163,0,0,0,1
Young,High,1,46.4694,1,1,1,0
Young,High,7,87.8484,0,1,1,1
Senior,High,7,76.6975,1,1,1,1
Young,High,10,82.3135,0,0,1,1
Senior,High,7,51.057,1,0,1,1
Senior,High,10,66.0845,1,0,1,1
Senior,High,1,69.4841,1,0,1,1
Senior,High,4,68.8245,0,0,1,1
Senior,Low,7,69.4349,1,0,0,1
Young,Low,9,60.8521,0,0,0,1
Senior,Low,5,67.0281,0,1,1,1
Young,High,2,80.5035,0,0,1,1
Young,High,7,47.5023,0,0,1,1
Senior,Low,10,88.2058,1,1,1,1
Senior,High,1,79.7285,0,1,0,1
Senior,High,7,50.522,1,1,1,1
Senior,Low,6,70.7575,0,0,1,1
Young,Low,7,78.5225,0,1,1,1
Young,Low,10,46.4706,0,0,0,1
Senior,High,3,65.6297,0,1,0,0
Young,High,3,63.8223,0,0,1,1
Young,Low,7,55.3163,0,1,0,1
Young,High,2,66.3854,0,0,1,1
Young,Low,1,55.9957,0,1,0,0
Young,Low,9,85.6146,0,0,1,1
Young,Low,9,55.6003,0,0,1,1
Young,High,7,76.8797,0,0,1,1
Young,High,7,40.1692,0,0,1,1
Senior,Low,3,62.5729,0,0,0,1
Young,Low,10,65.1847,0,0,0,1
Young,Low,2,62.0856,0,0,1,1
Senior,High,7,59.0552,1,1,1,1
Young,High,9,54.9873,0,0,1,1
Senior,Low,1,76.3181,1,0,0,1
Senior,Low,4,79.9919,0,0,1,1
Young,Low,6,63.7676,0,1,0,1
Young,High,7,48.5504,0,0,1,1
Senior,Low,10,91.9092,1,0,0,1
Senior,Low,7,51.803,1,0,0,1
Young,Low,10,43.1087,1,0,1,1
Senior,High,2,34.8107,1,0,0,0
Young,High,4,66.4918,0,0,1,1
Senior,Low,5,61.7388,1,1,0,0
Young,High,1,80.4643,1,1,1,0
Senior,High,1,74.1663,1,0,1,1
Senior,Low,10,69.353,1,0,0,1
Senior,High,3,60.9295,1,1,1,0
Senior,Low,10,81.6497,1,0,1,1
Young,High,3,93.0108,0,0,1,1
Young,Low,8,80.1347,0,0,1,1
Young,Low,9,58.047,0,0,1,1
Young,High,1,76.7235,0,0,1,1
Senior,High,2,58.9687,0,1,1,1
Young,High,10,48.424,0,0,1,1
Young,High,2,51.5144,0,0,1,1
Senior,Low,4,59.6273,1,0,0,1
Senior,Low,2,66.5594,1,1,1,0
Senior,High,7,95.9087,0,0,1,1
Senior,High,9,51.7747,0,0,0,1
Young,High,7,84.8523,0,0,0,1
Young,Low,6,60.2411,0,1,0,1
Senior,High,10,34.7542,0,0,0,1
Senior,Low,1,57.4141,0,0,0,0
Young,Low,10,82.6505,1,1,0,1
Senior,Low,9,70.17,1,1,0,1
Young,High,5,71.0668,0,0,1,1
Young,Low,5,84.9276,1,0,1,1
Senior,High,6,49.455,0,0,1,1
Senior,High,9,49.2237,1,0,1,1
Senior,Low,8,31.0441,0,0,0,1
Young,Low,8,78.1562,0,0,0,1
Senior,High,8,73.4373,1,1,1,1
Young,High,1,75.8595,0,0,1,1
Young,High,1,47.2548,0,1,0,0
Senior,High,8,40.9363,0,0,1,1
Senior,High,5,45.2057,1,1,1,1
Senior,High,9,51.1614,1,0,1,1
Senior,High,2,88.3094,0,0,1,1
Senior,Low,9,80.0019,1,0,1,1
Senior,Low,8,58.1267,1,1,1,1
Young,Low,9,69.4888,0,0,1,1
Young,High,4,54.8246,0,0,1,1
Young,Low,1,70.4642,0,1,0,0
Young,Low,1,47.9286,0,0,1,1
Senior,Low,5,76.2538,1,1,0,0
Young,Low,2,52.2545,1,0,1,0
Young,Low,8,77.0887,0,0,0,1
Young,Low,10,58.5887,1,0,1,1
Senior,High,5,53.1489,1,0,1,1
Young,Low,5,89.195,1,0,0,1
Senior,Low,2,67.6542,1,0,0,0
Young,Low,7,60.1673,1,0,0,1
Young,Low,8,76.3727,0,0,0,1
Senior,High,10,44.9001,0,1,1,1
Senior,High,1,81.603,1,0,1,1
Young,Low,2,62.9083,0,0,0,1
Senior,Low,10,74.0118,1,0,1,1
Senior,Low,4,41.7819,1,0,0,0
Young,High,5,59.2636,0,0,1,1
Senior,High,2,65.0687,0,0,1,1
Senior,Low,1,80.4545,0,0,1,1
Senior,Low,9,75.2062,0,0,0,1
Senior,Low,1,59.1128,0,0,0,0
Senior,High,4,69.7692,0,1,0,1
Senior,Low,2,83.8485,0,0,1,1
Senior,High,4,62.0002,0,1,1,1
Senior,Low,8,60.367,1,0,1,1
Senior,High,8,36.6544,0,1,1,1
Senior,High,9,60.8139,1,0,0,1
Senior,Low,5,38.9056,0,1,0,0
Young,Low,7,63.285,0,0,0,1
Senior,High,3,79.822,0,0,1,1
Senior,Low,10,33.2054,0,1,1,1
Young,High,4,83.5131,0,0,1,1
Senior,High,10,60.0467,0,0,1,1
Young,High,9,64.5925,0,0,0,1
Young,High,10,57.4637,0,0,1,1
Senior,Low,10,39.3014,1,0,0,1
Young,High,1,53.2552,0,0,1,1
Senior,High,2,96.4612,1,1,1,1
Senior,Low,5,48.5593,1,0,0,0
Senior,High,3,41.1719,0,0,1,1
Young,Low,2,67.1194,0,0,1,1
Young,High,1,63.7134,0,0,0,0
Senior,Low,10,60.1501,0,1,0,1
Senior,High,3,65.2167,0,0,1,1
Senior,High,1,74.663,0,0,1,1
Young,High,1,56.1925,0,0,1,1
Senior,High,1,67.9162,0,1,1,0
Senior,High,8,80.3581,0,0,0,1
Senior,Low,3,50.0707,0,1,0,0
Young,Low,1,30.1673,1,0,1,0
Senior,Low,7,75.0621,0,0,1,1
Senior,Low,10,100.0,0,1,0,1
Senior,High,3,64.8897,1,0,0,0
Young,High,8,68.029,0,0,1,1
Senior,High,4,60.5629,0,1,0,1
Senior,High,4,88.8209,1,0,1,1
Young,Low,5,63.8336,0,0,0,1
Senior,Low,6,62.2015,1,0,0,1
Senior,High,7,78.663,0,0,0,1
Young,High,4,57.7359,1,0,1,1
Young,Low,8,45.7296,0,0,1,1
Senior,Low,6,78.2345,1,0,1,1
Young,High,1,56.1268,0,1,1,0
Senior,Low,1,50.3681,0,1,0,0
Young,Low,9,96.5007,0,0,0,1
Senior,High,10,62.321,1,1,1,1
Young,High,6,72.4134,0,1,1,1
Senior,Low,10,65.4429,1,0,0,1
Senior,Low,8,51.7052,1,1,0,0
Senior,Low,7,75.3415,1,0,1,1
Senior,High,6,69.7187,1,0,1,1
Young,High,4,55.1093,0,0,0,1
Senior,Low,7,71.4979,1,0,0,1
Young,Low,9,57.2853,0,0,0,1
Young,High,10,48.4326,0,0,0,1
Young,Low,10,46.915,0,0,0,1
Young,Low,7,69.0509,1,0,0,1
Senior,Low,1,59.259,1,0,0,0
Senior,Low,10,87.5256,1,0,0,1
Young,Low,9,64.3556,0,0,1,1
Young,High,4,53.222,1,1,1,1
Senior,Low,3,67.3673,1,1,1,0
Young,High,4,45.586,0,1,1,1
Young,Low,4,63.738,0,0,1,1
Young,High,10,69.7875,0,1,0,1
Senior,Low,2,67.9351,0,0,0,1
Senior,High,1,84.542,1,1,1,1
Young,High,10,100.0,0,1,1,1
Young,High,1,75.071,0,1,1,1
Senior,High,8,82.6819,0,0,1,1
Senior,Low,2,100.0,0,1,1,1
Young,Low,10,49.9066,1,0,1,1
Senior,Low,5,66.9594,1,0,0,1
Young,High,4,57.8301,0,0,1,1
Young,High,8,77.6399,0,0,1,1
Senior,High,2,69.0743,0,0,1,1
Young,High,10,52.7235,0,0,1,1
Senior,Low,9,65.1642,0,0,0,1
Young,High,7,80.7038,1,1,0,1
Young,High,7,45.4441,0,0,1,1
Senior,High,1,53.0398,0,1,1,1
Young,High,2,50.7909,0,0,1,1
Senior,Low,4,69.8959,1,0,0,0
Young,Low,4,83.6077,0,1,0,1
Young,High,3,34.854,0,0,1,1
Young,High,7,66.416,1,1,1,1
Senior,High,8,51.1367,0,1,1,1
Young,High,2,80.081,1,0,1,1
Senior,High,4,61.4455,0,0,1,1
Young,Low,3,66.9601,0,0,1,1
Senior,Low,2,64.9799,1,1,0,0
Young,Low,6,81.8633,0,0,0,1
Senior,High,4,95.7295,1,0,1,1
Senior,High,6,47.98,1,0,1,1
Senior,Low,2,50.7117,0,0,0,0
Senior,Low,4,69.8225,1,0,0,1
Senior,Low,6,52.754,0,0,0,1
Senior,High,5,79.0038,1,1,1,1
Young,Low,3,81.4118,1,0,0,1
Young,High,8,56.8014,0,0,1,1
Senior,Low,7,53.5469,0,1,0,0
Senior,Low,3,60.8783,1,1,1,1
Senior,Low,6,66.5603,1,0,1,1
Young,High,4,69.7226,1,1,0,0
Young,Low,5,31.2077,0,1,1,0
Young,High,5,50.4882,0,0,1,1
Senior,High,7,58.9385,0,0,1,1
Young,High,5,53.0452,0,0,1,1
Young,Low,3,30.0,0,1,1,0
Young,High,10,36.6744,1,0,0,1
Young,High,5,45.4196,0,0,1,1
Senior,Low,7,63.2707,1,0,1,1
Young,High,5,58.457,0,1,1,1
Senior,Low,5,55.5265,1,0,1,1
Young,High,9,76.9477,0,1,1,1
Young,High,3,76.942,0,0,1,1
Young,Low,6,67.2488,0,0,1,1
Young,High,1,66.8018,1,0,1,0
Young,High,10,52.1501,0,0,1,1
Young,Low,5,53.9451,1,1,1,1
Senior,Low,8,39.3853,1,1,0,0
Young,Low,5,61.2387,0,1,0,1
Senior,High,9,76.7861,1,0,1,1
Senior,High,6,85.3149,0,1,0,1
Senior,Low,8,61.3283,0,0,1,1
Young,Low,10,72.375,0,0,0,1
Young,Low,8,30.0,1,0,0,0
Young,Low,3,58.5061,0,1,0,0
Young,Low,7,58.1546,0,0,0,1
Senior,High,7,87.3675,1,1,1,1
Young,High,10,70.894,0,0,1,1
Young,Low,6,72.4138,0,1,1,1
Senior,High,7,71.6349,1,0,1,1
Senior,High,2,65.6816,1,1,0,0
Senior,Low,9,87.9855,0,0,0,1
Young,Low,10,30.4208,0,0,0,1
Young,High,10,67.1932,0,0,1,1
Senior,High,1,81.947,1,1,0,0
Young,High,1,36.6291,0,0,1,1
Young,Low,3,77.5688,0,0,0,1
Young,Low,3,53.5826,0,0,1,1
Young,High,1,66.6472,1,0,1,1
Young,High,7,53.2946,0,1,1,1
Young,Low,4,79.3873,0,0,0,1
Senior,High,10,60.6746,1,1,0,1
Senior,Low,2,77.687,1,0,1,1
Senior,Low,10,71.5299,0,0,1,1
Young,High,5,53.0931,0,0,1,1
Young,Low,6,72.5279,0,0,0,1
Young,High,9,55.0465,0,0,1,1
Senior,High,4,65.9619,1,0,1,1
Senior,Low,2,60.4011,0,0,0,1
Young,High,5,78.4987,0,0,1,1
Senior,Low,3,73.1048,1,0,0,1
Young,Low,2,64.5392,0,0,1,1
Senior,High,1,54.7143,1,0,1,1
Senior,High,10,45.9651,1,0,0,1
Senior,High,2,67.0348,1,1,1,0
Senior,High,6,55.5156,1,0,1,1
Senior,High,8,36.8301,1,0,1,1
Young,High,3,45.0496,0,0,1,1
Senior,High,9,89.3881,1,1,1,1
Young,Low,9,55.1004,0,0,1,1
Senior,Low,2,81.2324,1,1,0,0
Senior,Low,8,59.6503,1,0,0,1
Senior,High,10,83.5937,0,0,1,1
Young,High,5,82.5075,1,1,1,1
Senior,Low,4,52.6146,1,0,0,1
Senior,High,10,35.1804,0,1,0,1
Senior,High,5,36.4502,1,1,1,0
Young,Low,4,52.8701,0,0,1,1
Young,Low,8,93.3445,0,0,0,1
Young,Low,4,58.8416,0,0,0,1
Young,High,10,67.1787,0,0,1,1
Senior,Low,6,84.5501,1,0,0,1
Young,Low,2,66.6548,1,0,1,1
Senior,Low,5,66.1384,1,1,1,1
Young,Low,6,74.3399,1,0,0,1
Young,Low,5,69.3345,0,0,1,1
Senior,Low,2,63.508,1,0,0,0
Senior,High,7,54.1783,1,0,1,1
Young,Low,4,66.1773,0,1,1,1
Senior,Low,8,81.416,1,1,0,1
Senior,Low,7,91.7301,0,0,1,1
